Function	Genes
Beta-oxidation of pristanoyl-CoA; Peroxisomal lipid metabolism	ACOXL
Reproduction	ADAM30
Disease	ADCY7
Metabolism	ADCY7
Neuronal System	ADCY7
Signal Transduction	ADCY7
Transport of small molecules	ADCY7
Gene expression (Transcription)	AGO2
Signal Transduction	AGO2
Metabolism	AHR
Autophagy	ATG16L1
Extracellular matrix organization	BMP7
Immune System	BTNL2
Disease	CAMK4
Gene expression (Transcription)	CAMK4
Neuronal System	CAMK4
Organelle biogenesis and maintenance	CAMK4
Signal Transduction	CAMK4
Immune System	CARD9
Immune System	CD226
Immune System	CFB
Immune System	CLEC2D
Developmental Biology	COL4A3
Extracellular matrix organization	COL4A3
Signal Transduction	COL4A3
Immune System	COLEC10
Immune System	CTSH
Metabolism of proteins	CTSH
Developmental Biology	DAG1
Disease	DAG1
Extracellular matrix organization	DAG1
Metabolism of proteins	DAG1
Metabolism of proteins	DCAF5
Hemostasis	DGKH
Signal Transduction	DGKH
Hemostasis	DGKQ
Signal Transduction	DGKQ
Immune System	ERAP2
Disease	ERBB3
Immune System	ERBB3
Signal Transduction	ERBB3
Disease	ERBB4
Immune System	ERBB4
Neuronal System	ERBB4
Signal Transduction	ERBB4
Hemostasis	F13B
Metabolism	FADS1
Metabolism	FADS2
Developmental Biology	FARP2
Developmental Biology	FLI1
Vesicle-mediated transport	FNBP1
DNA Repair	FTO
Metabolism	FUT2
Neuronal System	GABRA2
Metabolism of proteins	GALNT13
Gene expression (Transcription)	GATA3
Hemostasis	GATA3
Immune System	GATA3
Metabolism of proteins	GATA3
Signal Transduction	GATA3
Neuronal System	GLRA3
Signal Transduction	GPR35
Signal Transduction	GRK3
Vesicle-mediated transport	GRK3
Signal Transduction	HECW1
Disease	HLA-A
Immune System	HLA-A
Metabolism of proteins	HLA-A
Immune System	HLA-B
Immune System	HLA-DQA1
Immune System	HLA-DQB1
Immune System	HLA-DRA
Metabolism	HPSE2
Immune System	IFIH1
Metabolism of proteins	IFIH1
Hemostasis	IGF2
Metabolism of proteins	IGF2
Signal Transduction	IGF2
Signal Transduction	IKZF1
Immune System	IL23R
Gene expression (Transcription)	IL2RA
Immune System	IL2RA
Signal Transduction	IL2RA
Immune System	IL2RB
Signal Transduction	IL2RB
Developmental Biology	IL6R
Immune System	IL6R
Signal Transduction	IL6R
Immune System	IL7R
Vesicle-mediated transport	IL7R
Metabolism	INPP5B
Signal Transduction	INPP5B
Developmental Biology	INS
Gene expression (Transcription)	INS
Metabolism	INS
Metabolism of proteins	INS
Signal Transduction	INS
Vesicle-mediated transport	INS
Immune System	IRF4
Extracellular matrix organization	ITGB8
Neuronal System	KCNB2
Muscle contraction	KCNQ1
Neuronal System	KCNQ1
Neuronal System	KIF17
Organelle biogenesis and maintenance	KIF17
Immune System	KLRG1
Immune System	LMO7
Metabolism of proteins	LMO7
Signal Transduction	LPAR3
Signal Transduction	LRRK2
Vesicle-mediated transport	M6PR
Cellular responses to external stimuli	MAPK14
Developmental Biology	MAPK14
Disease	MAPK14
Gene expression (Transcription)	MAPK14
Hemostasis	MAPK14
Immune System	MAPK14
Metabolism of RNA	MAPK14
Organelle biogenesis and maintenance	MAPK14
Signal Transduction	MAPK14
Neuronal System	MAPT
Programmed Cell Death	MAPT
Gene expression (Transcription)	NFIB
Disease	NOTCH2
Gene expression (Transcription)	NOTCH2
Signal Transduction	NOTCH2
Gene expression (Transcription)	NR4A3
 Cell Cycle	NUP210
Cellular responses to external stimuli	NUP210
Disease	NUP210
Gene expression (Transcription)	NUP210
Immune System	NUP210
Metabolism	NUP210
Metabolism of proteins	NUP210
Metabolism of RNA	NUP210
Gene expression (Transcription)	PAX5
Disease	PGM1
Immune System	PGM1
Metabolism	PGM1
Hemostasis	PHACTR2
Metabolism	PI4KA
Metabolism	PLEKHA1
Developmental Biology	POU5F1
Developmental Biology	PRKCQ
Gene expression (Transcription)	PRKCQ
Hemostasis	PRKCQ
Immune System	PRKCQ
Programmed Cell Death	PRKCQ
Signal Transduction	PRKCQ
Metabolism	PRKD2
 Cell Cycle	PSMB2
Cellular responses to external stimuli	PSMB2
Developmental Biology	PSMB2
Disease	PSMB2
DNA Replication	PSMB2
Gene expression (Transcription)	PSMB2
Immune System	PSMB2
Metabolism	PSMB2
Metabolism of proteins	PSMB2
Metabolism of RNA	PSMB2
Programmed Cell Death	PSMB2
Signal Transduction	PSMB2
Transport of small molecules	PSMB2
Metabolism	PTGES
Signal Transduction	PTGFR
Immune System	PTPN13
Metabolism	PTPN13
Immune System	PTPN2
Signal Transduction	PTPN2
Immune System	PTPN22
Immune System	RAB5B
Metabolism of proteins	RAB5B
Vesicle-mediated transport	RAB5B
DNA Repair	RAD51B
Hemostasis	RAD51B
Hemostasis	RASGRP1
Immune System	RASGRP1
Signal Transduction	RASGRP1
Gene expression (Transcription)	RBFOX1
 Cell Cycle	RMI2
DNA Repair	RMI2
Gene expression (Transcription)	RMI2
Metabolism	RNLS
Gene expression (Transcription)	RPAP2
Cellular responses to external stimuli	RPL37A
Developmental Biology	RPL37A
Disease	RPL37A
Metabolism	RPL37A
Metabolism of proteins	RPL37A
Metabolism of RNA	RPL37A
Metabolism of RNA	RPP21
Cellular responses to external stimuli	RPS26
Developmental Biology	RPS26
Disease	RPS26
Metabolism	RPS26
Metabolism of proteins	RPS26
Metabolism of RNA	RPS26
Developmental Biology	RPS6KA4
Organelle biogenesis and maintenance	SEPT2
Hemostasis	SH2B3
Signal Transduction	SH2B3
Cell-Cell communication	SIRPG
Hemostasis	SIRPG
Cell-Cell communication	SKAP2
Neuronal System	SLC1A2
Transport of small molecules	SLC1A2
Transport of small molecules	SLC4A10
Developmental Biology	SMAD2
Disease	SMAD2
Gene expression (Transcription)	SMAD2
Metabolism of proteins	SMAD2
Signal Transduction	SMAD2
Developmental Biology	SMAD3
Disease	SMAD3
Gene expression (Transcription)	SMAD3
Immune System	SMAD3
Metabolism of proteins	SMAD3
Signal Transduction	SMAD3
Metabolism of proteins	SNCAIP
Muscle contraction	SORBS1
Immune System	STAT4
Metabolism	SUOX
Immune System	TAP2
Disease	TCF7L2
Gene expression (Transcription)	TCF7L2
Metabolism of proteins	TCF7L2
Signal Transduction	TCF7L2
Metabolism of RNA	THADA
Extracellular matrix organization	TLL1
Developmental Biology	TNF
Immune System	TNF
Signal Transduction	TNF
Immune System	TNFSF15
Muscle contraction	TRDN
Transport of small molecules	TRDN
Immune System	TRIM31
Immune System	TYK2
Signal Transduction	TYK2
Developmental Biology	UNC5D
Metabolism of proteins	VARS2
DNA-binding transcription factor activity	BACH2
Enables signaling receptor binding	BTN2A3P
Heparin binding	C6orf15
Pseudogene	COL11A2P1
Calcium ion binding	EYS
Indeterminate Leprosy and Borderline Leprosy	HCG21
Acquired Immunodeficiency Syndrome and Thyroid Gland Follicular Carcinoma	HCP5
"RNA Gene, and is affiliated with the lncRNA class"	HLA-DQB1-AS1
Peptide antigen binding	HLA-DRB5
Pseudogene	HLA-DRB9
Complex Cortical Dysplasia With Other Brain Malformations	LINC00243
Progeria-associated lipodystrophy	MUCL3
Nucleic acid binding	NELFE
Disease	PSORS1C3
	RF00554
Pseudogene	RPL3P2
Putative surfactant protein	SFTA2
Chloride channel activity	SLC26A8
Tubulin binding	STMND1
"RNA Gene, and is affiliated with the lncRNA class"	TRIM31-AS1
Identical protein binding and ligase activity	TRIM39
zinc ion binding	TRIM39-RPP21
"Hypogonadotropic Hypogonadism 14 With Or Without Anosmia and Spermatogenic Failure, Y-Linked, 2"	TSBP1
Sarcoidosis 2	TSBP1-AS1
USP8P1	USP8P1
	Z94721.1
