Function	Genes
Beta-oxidation of pristanoyl-CoA; Peroxisomal lipid metabolism	ACOXL
Interaction With Cumulus Cells And The Zona Pellucida	ADAM30
ADORA2B mediated anti-inflammatory cytokines production; FCGR3A-mediated IL10 synthesis; Adenylate cyclase activating pathway; PKA activation in glucagon signalling; PKA-mediated phosphorylation of CREB; Vasopressin regulates renal water homeostasis via Aquaporin; Activation of GABAB receptors	ADCY7
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux; Small interfering RNA (siRNA) biogenesis; Regulation of PTEN mRNA translation	AGO2
Biological oxidations; Aryl hydrocarbon receptor signalling	AHR
Autophagy	ATG16L1
Extracellular matrix organization	BMP7
Butyrophilin (BTN) family interactions	BTNL2
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde; Negative regulation of NMDA receptor-mediated neuronal transmission; Transcriptional activation of mitochondrial biogenesis	CAMK4
Protein homodimerization activity; CARD domain binding	CARD9
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	CD226
Serine-type endopeptidase activity; Complement binding	CFB
Carbohydrate binding; Transmembrane signaling receptor activity	CLEC2D
Developmental Biology	COL4A3
Mannose binding	COLEC10
Protein-containing complex binding; Peptidase activity	CTSH
Developmental Biology	DAG1
Metabolism of proteins	DCAF5
NAD+ kinase activity; Diacylglycerol kinase activity	DGKH
Kinase binding; Phospholipase binding	DGKQ
Metallopeptidase activity; Aminopeptidase activity	ERAP2
Protein homodimerization activity; Transferase activity; Transferring phosphorus-containing groups	ERBB3
Protein homodimerization activity; Protein kinase activity	ERBB4
Hemostasis	F13B
Oxidoreductase activity; Heme binding	FADS1
"Iron ion binding; Oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water"	FADS2
Developmental Biology	FARP2
Developmental Biology	FLI1
Vesicle-mediated transport	FNBP1
DNA Repair	FTO
Fucosyltransferase activity; Galactoside 2-alpha-L-fucosyltransferase activity	FUT2
Neuronal System	GABRA2
Metabolism of proteins	GALNT13
Gene expression (Transcription)	GATA3
Neuronal System	GLRA3
G protein-coupled receptor activity	GPR35
Vesicle-mediated transport	GRK3
Ligase activity; Ubiquitin protein ligase activity	HECW1
RNA binding; Peptide antigen binding	HLA-A
Signaling receptor binding; Peptide antigen binding.	HLA-B
Peptide antigen binding; MHC class II receptor activity	HLA-DQA1
Peptide antigen binding; MHC class II receptor activity	HLA-DQB1
Peptide antigen binding; MHC class II receptor activity	HLA-DRA
Heparan sulfate proteoglycan binding; Heparanase activity	HPSE2
Nucleic acid binding; Hydrolase activity	IFIH1
Growth factor activity; Insulin receptor binding	IGF2
