SNPS	MAPPED_GENE	MAPPED_GENE_1	MAPPED_GENE_2	MAPPED_GENE_3	MAPPED_GENE_4	MAPPED_GENE_5	MAPPED_GENE_6	MAPPED_GENE_7	MAPPED_GENE_8	MAPPED_GENE_9	MAPPED_GENE_10	MAPPED_GENE_11	MAPPED_GENE_12	MAPPED_GENE_13
rs1004446	INS-IGF2													
rs1004446	INS-IGF2													
rs10137082	EFS	IL25												
rs1015166	TAP2	TAP2	TAP2	TAP2	TAP2	TAP2	TAP2	TAP2						
rs10169963	MIR3681HG													
rs10169963	MIR3681HG													
rs10186458	SLC7A15P	RNA5SP86												
rs10213692	ANKRD55													
rs10213692	ANKRD55													
rs10245867	JAZF1													
rs10245867	JAZF1													
rs10255565	HECW1													
rs10258381														
rs10277986	NA	COBL												
rs10509540	NA	RNLS												
rs1050979	IRF4													
rs10517086	LINC02357													
rs1052553	MAPT	MAPT	MAPT											
rs1052553	MAPT	MAPT	MAPT											
rs1052553	MAPT	MAPT	MAPT											
rs10625784														
rs10751776	RUNX3	MIR4425												
rs10758593	GLIS3													
rs10786436	HPSE2													
rs10788599	RNLS													
rs10795791	IL2RA	RPL32P23												
rs10811662	CDKN2B-AS1	DMRTA1												
rs10822050	NA	ALDH7A1P4												
rs10831551	MIR4686	ASCL2												
rs10876866	RPS26	ERBB3												
rs10919543	RPS23P10	FCGR3A												
rs10933559	FARP2													
rs10933559	FARP2													
rs10961433	NFIB													
rs10974438	GLIS3													
rs10988542	FNBP1													
rs11033048	SLC1A2													
rs11033048	SLC1A2													
rs11052552	CLEC2D	LINC02390												
rs1110458	HS3ST2	USP31												
rs11120029	TATDN3													
rs11120029	TATDN3													
rs11145763	CARD9													
rs11154178	TRDN													
rs11170445	HIGD1AP1	EIF4A1P4												
rs11171739	ERBB3													
rs111821448	PHLDB2													
rs11203202	UBASH3A													
rs11203203	UBASH3A													
rs11258747	PRKCQ													
rs113010081	CCRL2	LINC02009												
rs113114656	SMAD2													
rs113306148	PLEKHA1													
rs113517532	LINC01117													
rs113554206	PAPLN													
rs113881148	DGKQ													
rs113881148	DGKQ													
rs113935429	FTO													
rs114378220	CAMK4													
rs114631266	OR2W1	OR2P1P												
rs114846446	LINC01250													
rs115061173	LINC01266	RN7SL120P												
rs11580078	C1orf141	IL23R												
rs115829748	NA	MAP1B												
rs116020851	HCG21	HCG21	HCG21	HCG21	HCG21	SFTA2	SFTA2	SFTA2	SFTA2	SFTA2	SFTA2			
rs116216059	STAC													
rs11651753	PNPO	PRR15L												
rs116763857	POU5F1	POU5F1	POU5F1	POU5F1	POU5F1	POU5F1	POU5F1							
rs11698685	MIR646HG													
rs11705721	PXK													
rs11723864	HAND2-AS1													
rs11725853	GLRA3													
rs117372389	NKD1													
rs11741255	IRF1	IRF1-AS1												
rs11755527	BACH2													
rs11755527	BACH2													
rs11755527	BACH2													
rs11755527	BACH2													
rs11755527	BACH2													
rs117826205	MALRD1													
rs118124843	VARS2	VARS2	VARS2	VARS2	VARS2	VARS2								
rs11839053	LINC00460	RPL35P9												
rs11888640	THADA													
rs11954020	IL7R	CAPSL												
rs12128789	LINC02773	BATF3												
rs12203596	STMND1													
rs12232497	ZPBP2	GSDMB												
rs12251307	RPL32P23	RBM17												
rs12251307	RPL32P23	RBM17												
rs12344245	FAM189A2													
rs12344245	FAM189A2													
rs12416116	RNLS													
rs12437854														
rs12444268	GP2	UMOD												
rs12453507	ZPBP2	GSDMB												
rs12464462	MIR4432HG													
rs12482425														
rs1250563	ZMIZ1													
rs12508379	STIM2	LINC02261												
rs12598357	SBK1	NPIPB6												
rs12615970	ALLC													
rs12644686	LINC02362													
rs12644905	CENPU	ACSL1												
rs1265057	RNU6-1133P	C6orf15												
rs1265564	CUX2													
rs12665429	NA	LINC02539												
rs12665429	NA	LINC02539												
rs12679857	TNFRSF11B	RNU6-12P												
rs12708716	CLEC16A													
rs12708716	CLEC16A													
rs12708716	CLEC16A													
rs12708716	CLEC16A													
rs12708716	CLEC16A													
rs1270942	CFB	CFB	CFB	CFB	CFB	CFB								
rs12712067	AFF3													
rs12712067	AFF3													
rs12720356	TYK2													
rs12722495	IL2RA													
rs12742756	INPP5B													
rs1275406	DCAF5													
rs12863738	RPL22P23	SRRM1P3												
rs12927355	CLEC16A													
rs12928404	ATXN2L													
rs12971201	PTPN2													
rs13018977	SEPTIN2													
rs13045180	EFCAB8													
rs13132147	STIM2	LINC02261												
rs13147255	LINC02516	ANKRD50												
rs13217044	NA	PDE10A												
rs13259300	COLEC10													
rs1326934	SORBS1													
rs1332099	NKX2-3	SLC25A28												
rs13415583	AFF3													
rs1344228														
rs138181578	RUNX2	NA												
rs138748427	HLA-DRB9	HLA-DRB5												
rs138760780	CDK18													
rs138760780	CDK18													
rs139881548	GABRA2													
rs140215710	KCNQ1DN	CDKN1C												
rs1405209	NR4A3	STX17-AS1												
rs1405209	NR4A3	STX17-AS1												
rs142823282	FANCD2P2													
rs143537377	LINC02212													
rs143723948	PAX5													
rs144434404	BMP7													
rs1445898	CAPSL													
rs145681168	HAND2-AS1													
rs1456988	LINC01550	NA												
rs1465788	ZFP36L1	MAGOH3P												
rs1493696	NOTCH2													
rs149641852	SNCAIP	MGC32805												
rs151234	CLN3													
rs1534422	MIR3681HG													
rs1538171	CENPW	MIR588												
rs1578060	CENPW	MIR588												
rs1615504	CD226													
rs1689510	SUOX													
rs16956936	DNAH2													
rs1701704	IKZF4													
rs1701704	IKZF4													
rs17143056	NA	EEF1A1P27												
rs17143056	NA	EEF1A1P27												
rs17166496	FSTL4													
rs17206992	GALNT13													
rs17388568	ADAD1													
rs17388568	ADAD1													
rs17407280	KIF17													
rs17466626	LRRK2													
rs17696736	NAA25													
rs17696736	NAA25													
rs17696736	NAA25													
rs1770	HLA-DQB1	HLA-DQB1	HLA-DQB1	HLA-DQB1	HLA-DQB1	HLA-DQB1	HLA-DQB1-AS1	HLA-DQB1-AS1	HLA-DQB1-AS1	HLA-DQB1-AS1	HLA-DQB1-AS1	HLA-DQB1-AS1		
rs17711850	BACH2													
rs178050	PI4KA													
rs17885785	INS-IGF2	IGF2-AS												
rs1805731	M6PR													
rs1805731	M6PR													
rs181176493	RN7SL807P	NA												
rs183937294	PLEKHA7													
rs185299109	LINC00470	AIDAP3												
rs185335076	STIM2	LINC02261												
rs1876142	TTC33													
rs1876142	TTC33													
rs1881146	MIR3681HG													
rs1893217	PTPN2													
rs1893217	PTPN2													
rs191449639	MUC7	AMTN												
rs192324744	LRP1B													
rs193778	RMI2													
rs1947178	TOX													
rs1970112	CDKN2B-AS1													
rs1980493	TSBP1-AS1	BTNL2	BTNL2	BTNL2	BTNL2									
rs1983853	LPAR3													
rs1983890	RBM17	PFKFB3												
rs1989248	RN7SL72P	NA												
rs1990760	IFIH1													
rs1990760	IFIH1													
rs1990760	IFIH1													
rs2066363	ADGRL2													
rs2069762	IL2	NA												
rs2075184	IL18RAP	SLC9A4												
rs2085277														
rs2111485	FAP	IFIH1												
rs212408	TAGAP-AS1													
rs212408	TAGAP-AS1													
rs2128344	LINC00320													
rs2148655	DGKH													
rs2153977	MAGI3													
rs2165738	ITSN2	NCOA1												
rs2229238	IL6R													
rs2229238	IL6R													
rs2237897	KCNQ1	KCNQ1												
