Pathway ID	Description	Parent(s)	p-Value	Genes Involved	Variation IDs
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs1050979
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs11171739
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs11580078
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs12720356
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs12722495
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs12971201
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs1770
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs1893217
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs2229238
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs2292239
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.000001	ERBB3,ERBB4,GATA3,HLA-A,HLA-B,HLA-DQA1,HLA-DQB1,HLA-DRA,IL23R,IL2RA,IL2RB,IL6R,IL7R,IRF4,MAPK14,NUP210,PSMB2,PTPN13,PTPN2,RASGRP1,SMAD3,STAT4,TNF,TNFSF15,TRIM31,TYK2	rs2304256
