Variation ID	Chromosome	Trait	p-Value	Catalogue ID	Risk Allele	Allele Frequency	Population	Region	Genes	Platform	PubMed
rs28600853	chr1	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	6E-6	rs28600853	rs28600853-G	0.011	5,806 European ancestry children	1p36.32	TTC34, PRDM16	Illumina [131847]	29310926
rs10751776	chr1	IgG glycosylation	7E-6	rs10751776	rs10751776-C	0.54112898484173	2,247 European ancestry individuals	1p36.11	None	Illumina [~ 2500000] (imputed)	23382691
rs2269247	chr1	Type 2 diabetes	6E-9	rs2269247	rs2269247-C	0.8135	148,726 European ancestry cases, 965,732 European ancestry controls	1p31.3	None	Affymetrix, Illumina [1198787] (imputed)	32541925
rs2269247	chr1	Type 2 diabetes	3E-13	rs2269247	rs2269247-C	0.8094	148,726 European ancestry cases, 24,646 African American cases, 8,616 Hispanic cases, 46,511 Asian ancestry cases, 965,732 European ancestry controls, 31,446 African American controls, 11,829 Hispanic controls, 169,776 Asian ancestry controls	1p31.3	None	Affymetrix, Illumina [at least 945603] (imputed)	32541925
rs2269241	chr1	Type 1 diabetes	4E-7	rs2269241	None	0.19	7,514 European ancestry cases, 9,045 European ancestry controls	1p31.3	PGM1	Affymetrix, Illumina [841622] (imputed)	19430480
rs11580078	chr1	Pediatric autoimmune diseases	8E-11	rs11580078	None	0.43	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	1p31.3	IL23R	Illumina [7347414] (imputed)	26301688
rs7533564	chr1	Skin fluorescence in type 1 diabetes	2E-9	rs7533564	rs7533564-C		1,359 European ancestry cases	1p31.1	PTGFR, MGC27382	Illumina [7735748] (imputed)	27207532
rs2066363	chr1	Pediatric autoimmune diseases	8E-11	rs2066363	rs2066363-C	0.34	97 European ancestry thyroiditis cases, 107 European ancestry ankylosing spondylitis cases, 100 European ancestry psoriasis cases, 173 European ancestry celiac disease cases, 254 European ancestry systemic lupus erythematosus cases, 308 European ancestry common variable inmunodeficiency cases, 865 European ancestry ulcerative colitis cases, 1,086 European ancestry Type 1 diabetes cases, 1,123  European ancestry juvenile idiopathic arthritis cases, 1,922  European ancestry Crohn's disease cases, 10,718 European ancestry controls	1p31.1	LPHN2	Illumina [7347414] (imputed)	26301688
rs1983853	chr1	Heel bone mineral density	3E-11	rs1983853	rs1983853-C	0.88577	426,824 British ancestry individuals	1p22.3	LPAR3	NR [13737936] (imputed)	30598549
rs1983853	chr1	Type 1 diabetes	2E-6	rs1983853	rs1983853-?	None	563 European ancestry cases, 1,146 European ancestry controls, 483 European ancestry trios	1p22.3	EDG7	Illumina [up to 1000000]	18840781
rs2153977	chr1	Neuroblastoma or malignant cutaneous melanoma	5E-8	rs2153977	None	0.68967	2,101 European ancestry neuroblastoma cases, 12,874 European ancestry malignant cutaneous melanoma cases, 27,405 European ancestry controls	1p13.2	MAGI3	NR [NR] (imputed)	31605138
rs2153977	chr1	Type 1 diabetes and autoimmune thyroid diseases	4E-7	rs2153977	None	None	346 European ancestry cases, 727 European ancestry controls	1p13.2	MAGI3	Illumina [514008]	25936594
rs6679677	chr1	Keratinocyte cancer (MTAG)	7E-11	rs6679677	None	0.897934	at least 18,538 European ancestry cases, at least 340,302 European ancestry controls	1p13.2	PHTF1	Affymetrix [7600000] (imputed)	31174203
rs6679677	chr1	Medication use (immunosuppressants)	3E-19	rs6679677	None	0.102915	3,954 European ancestry cases, 268,648 European ancestry controls	1p13.2	RSBN1	Affymetrix [7288503] (imputed)	31015401
