DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
28/02/2019	30254083	Cousminer DL	2018-09-25	Diabetes Care	www.ncbi.nlm.nih.gov/pubmed/30254083	First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults Reveals Novel Insights Linking Immune and Metabolic Diabetes.	Latent autoimmune diabetes vs. type 1 diabetes	"2,454 European ancestry latent autoimmune diabetes cases, 968 European ancestry type 1 diabetes cases"	NA	6p21.32	6	32658698	HLA-DQB1	HLA-DQA1 - HLA-DQB1	ENSG00000196735	ENSG00000231939		11636	769	rs9273368-G	rs9273368	0	9273368	regulatory_region_variant	1	0.35	8.00E-40	39.09691001		2.99	[2.60-3.91]	"Affymetrix, Illumina [8465706] (imputed)"	N	"type 1 diabetes mellitus, latent autoimmune diabetes in adults"	"http://purl.obolibrary.org/obo/MONDO_0005147, http://www.ebi.ac.uk/efo/EFO_0009706"	GCST007247	Genome-wide genotyping array
28/02/2019	30254083	Cousminer DL	2018-09-25	Diabetes Care	www.ncbi.nlm.nih.gov/pubmed/30254083	First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults Reveals Novel Insights Linking Immune and Metabolic Diabetes.	Latent autoimmune diabetes	"2,634 European ancestry cases, 5,947 European ancestry controls"	"345 European ancestry cases, 1,664 European ancestry controls"	10p15.1	10	6136651	PFKFB3	RBM17 - PFKFB3	ENSG00000134453	ENSG00000170525		19194	8283	rs1983890-C	rs1983890	0	1983890	intergenic_variant	1	0.642	3.00E-08	7.522878745		1.2302363	[1.14396450049362-1.32301382549448]	"Affymetrix, Illumina [7868002] (imputed)"	N	latent autoimmune diabetes in adults	http://www.ebi.ac.uk/efo/EFO_0009706	GCST007245	Genome-wide genotyping array
28/02/2019	30254083	Cousminer DL	2018-09-25	Diabetes Care	www.ncbi.nlm.nih.gov/pubmed/30254083	First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults Reveals Novel Insights Linking Immune and Metabolic Diabetes.	Latent autoimmune diabetes	"2,634 European ancestry cases, 5,947 European ancestry controls"	"345 European ancestry cases, 1,664 European ancestry controls"	6q15	6	90248512	BACH2	BACH2			ENSG00000112182			rs11755527-?	rs11755527	0	11755527	intron_variant	0	0.443857	1.00E-07	7		1.203898	[1.125016-1.288312]	"Affymetrix, Illumina [7868002] (imputed)"	N	latent autoimmune diabetes in adults	http://www.ebi.ac.uk/efo/EFO_0009706	GCST007245	Genome-wide genotyping array
28/02/2019	30254083	Cousminer DL	2018-09-25	Diabetes Care	www.ncbi.nlm.nih.gov/pubmed/30254083	First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults Reveals Novel Insights Linking Immune and Metabolic Diabetes.	Latent autoimmune diabetes	"2,634 European ancestry cases, 5,947 European ancestry controls"	"345 European ancestry cases, 1,664 European ancestry controls"	2p21	2	43579243	THADA	THADA			ENSG00000115970			rs11888640-?	rs11888640	0	11888640	intron_variant	0	0.481522	2.00E-06	5.698970004		1.1833298	[1.1-1.27]	"Affymetrix, Illumina [7868002] (imputed)"	N	latent autoimmune diabetes in adults	http://www.ebi.ac.uk/efo/EFO_0009706	GCST007245	Genome-wide genotyping array
28/02/2019	30254083	Cousminer DL	2018-09-25	Diabetes Care	www.ncbi.nlm.nih.gov/pubmed/30254083	First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults Reveals Novel Insights Linking Immune and Metabolic Diabetes.	Latent autoimmune diabetes vs. type 2 diabetes	"2,779 European ancestry latent autoimmune diabetes cases, 10,396 European ancestry type 2 diabetes cases"	NA	6p21.32	6	32658698	HLA-DQB1	HLA-DQA1 - HLA-DQB1	ENSG00000196735	ENSG00000231939		11636	769	rs9273368-?	rs9273368	0	9273368	regulatory_region_variant	1	0.301	3.00E-78	77.52287875		2.439	[2.222-2.676]	"Affymetrix, Illumina [8328843] (imputed)"	N	"latent autoimmune diabetes in adults, type 2 diabetes mellitus"	"http://www.ebi.ac.uk/efo/EFO_0009706, http://purl.obolibrary.org/obo/MONDO_0005148"	GCST007246	Genome-wide genotyping array
28/02/2019	30254083	Cousminer DL	2018-09-25	Diabetes Care	www.ncbi.nlm.nih.gov/pubmed/30254083	First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults Reveals Novel Insights Linking Immune and Metabolic Diabetes.	Latent autoimmune diabetes vs. type 2 diabetes	"2,779 European ancestry latent autoimmune diabetes cases, 10,396 European ancestry type 2 diabetes cases"	NA	11p15.5	11	2160994	INS	"INS-IGF2, INS"			"ENSG00000129965, ENSG00000254647"			rs689-?	rs689	0	689	splice_region_variant	0	0.715	1.00E-18	18		1.473	[1.352-1.605]	"Affymetrix, Illumina [8328843] (imputed)"	N	"latent autoimmune diabetes in adults, type 2 diabetes mellitus"	"http://www.ebi.ac.uk/efo/EFO_0009706, http://purl.obolibrary.org/obo/MONDO_0005148"	GCST007246	Genome-wide genotyping array
28/02/2019	30254083	Cousminer DL	2018-09-25	Diabetes Care	www.ncbi.nlm.nih.gov/pubmed/30254083	First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults Reveals Novel Insights Linking Immune and Metabolic Diabetes.	Latent autoimmune diabetes vs. type 2 diabetes	"2,779 European ancestry latent autoimmune diabetes cases, 10,396 European ancestry type 2 diabetes cases"	NA	1p13.2	1	113834946	PTPN22	PTPN22			ENSG00000134242			rs2476601-?	rs2476601	0	2476601	missense_variant	0	0.14	5.00E-16	15.30103		1.529	[1.38-1.693]	"Affymetrix, Illumina [8328843] (imputed)"	N	"latent autoimmune diabetes in adults, type 2 diabetes mellitus"	"http://www.ebi.ac.uk/efo/EFO_0009706, http://purl.obolibrary.org/obo/MONDO_0005148"	GCST007246	Genome-wide genotyping array
28/02/2019	30254083	Cousminer DL	2018-09-25	Diabetes Care	www.ncbi.nlm.nih.gov/pubmed/30254083	First Genome-Wide Association Study of Latent Autoimmune Diabetes in Adults Reveals Novel Insights Linking Immune and Metabolic Diabetes.	Latent autoimmune diabetes vs. type 2 diabetes	"2,779 European ancestry latent autoimmune diabetes cases, 10,396 European ancestry type 2 diabetes cases"	NA	12q24.12	12	111446804	SH2B3	"ATXN2, SH2B3"			"ENSG00000204842, ENSG00000111252"			rs3184504-?	rs3184504	0	3184504	missense_variant	0	0.52	2.00E-08	7.698970004		1.24	[1.151-1.336]	"Affymetrix, Illumina [8328843] (imputed)"	N	"latent autoimmune diabetes in adults, type 2 diabetes mellitus"	"http://www.ebi.ac.uk/efo/EFO_0009706, http://purl.obolibrary.org/obo/MONDO_0005148"	GCST007246	Genome-wide genotyping array
28/12/2009	19966805	Wallace C	2009-12-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19966805	The imprinted DLK1-MEG3 gene region on chromosome 14q32.2 alters susceptibility to type 1 diabetes.	Type 1 diabetes	"7,514 European ancestry cases, 9,045 European ancestry controls"	"4,840 European ancestry cases, 2,670 European ancestry controls, 5,766 European ancestry familial triads"	19p13.2	19	10364976	TYK2	TYK2			ENSG00000105397			rs2304256-C	rs2304256	0	2304256	missense_variant	0	0.71	4.00E-09	8.397940009		1.16	[1.11-1.22]	"Affymetrix, Illumina [~ 2600000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST000539	Genome-wide genotyping array
28/12/2009	19966805	Wallace C	2009-12-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19966805	The imprinted DLK1-MEG3 gene region on chromosome 14q32.2 alters susceptibility to type 1 diabetes.	Type 1 diabetes	"7,514 European ancestry cases, 9,045 European ancestry controls"	"4,840 European ancestry cases, 2,670 European ancestry controls, 5,766 European ancestry familial triads"	14q32.2	14	100839708	"DIO3, DLK1, MEG3, RTL1"	MEG3			ENSG00000214548			rs941576-A	rs941576	0	941576	intron_variant	0	0.57	1.00E-10	10		1.11	[1.06-1.16]	"Affymetrix, Illumina [~ 2600000] (imputed)"	N	type 1 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147	GCST000539	Genome-wide genotyping array
